customer_id,full_name,age,income,employment_type,city,join_date
C0001,Isha Mehta,49,1763759,Salaried,Chennai,2021-02-25
C0002,Anita Chopra,39,1566006,Business,Pune,2017-03-29
C0003,Anita Gupta,22,1630737,Salaried,Hyderabad,2020-09-20
C0004,Yash Joshi,39,489928,Salaried,Chennai,2022-06-23
C0005,Neha Malhotra,23,433495,Business,Mumbai,2018-07-14
C0006,Manish Gupta,30,1242049,Salaried,Indore,2020-02-28
C0007,Priya Saxena,33,1740851,Salaried,Hyderabad,2018-04-11
C0008,Kavita Reddy,51,866639,Business,Nagpur,2023-06-27
C0009,Manish Deshmukh,34,1514804,Freelancer,Indore,2019-05-02
C0010,Kavita Khanna,42,1731281,Salaried,Delhi,2021-12-28
C0011,Nilesh Mishra,56,471666,Salaried,Chennai,2020-06-27
C0012,Sneha Mishra,56,1641622,Salaried,Pune,2020-10-20
C0013,Yash Sharma,35,1649543,Freelancer,Chennai,2020-03-31
C0014,Kavita Jain,45,1917152,Freelancer,Hyderabad,2020-08-14
C0015,Priya Patil,36,1106547,Salaried,Hyderabad,2017-06-16
C0016,Deepak Patil,33,1582723,Freelancer,Nagpur,2021-05-09
C0017,Sneha Iyer,48,688300,Freelancer,Indore,2022-02-08
C0018,Neha Saxena,27,434693,Freelancer,Bangalore,2020-11-28
C0019,Swati Pandey,41,1401534,Freelancer,Pune,2019-09-28
C0020,Komal Reddy,60,1084993,Salaried,Mumbai,2020-08-08
C0021,Yash Deshmukh,43,1755027,Salaried,Pune,2017-02-09
C0022,Shweta Bansal,22,1029817,Business,Hyderabad,2017-09-08
C0023,Sneha Agarwal,26,1161660,Freelancer,Pune,2018-10-13
C0024,Sanjay Saxena,22,1588783,Business,Mumbai,2019-12-06
C0025,Vikas Sharma,60,609339,Freelancer,Delhi,2018-03-10
C0026,Meena Kapoor,29,507750,Business,Nagpur,2017-02-06
C0027,Swati Khanna,52,1746746,Salaried,Delhi,2018-03-28
C0028,Manish Verma,32,1124099,Freelancer,Mumbai,2018-06-11
C0029,Rohit Jain,53,1750468,Salaried,Chennai,2017-08-14
C0030,Nilesh Chopra,31,643900,Salaried,Hyderabad,2020-07-06
C0031,Komal Patil,26,725736,Freelancer,Hyderabad,2017-07-25
C0032,Rohit Iyer,46,533955,Freelancer,Delhi,2022-09-12
C0033,Aarti Gupta,38,1540321,Freelancer,Delhi,2020-10-16
C0034,Meena Gupta,34,658489,Salaried,Nagpur,2019-09-20
C0035,Suresh Chopra,57,1384419,Salaried,Hyderabad,2019-08-22
C0036,Anita Kapoor,32,861085,Freelancer,Indore,2020-10-28
C0037,Harsh Jain,46,1586119,Salaried,Hyderabad,2018-07-26
C0038,Kiran Jain,32,1076973,Business,Nagpur,2017-11-23
C0039,Kiran Mishra,22,873274,Salaried,Chennai,2022-02-28
C0040,Priya Khanna,28,1902650,Freelancer,Pune,2021-10-16
C0041,Yash Reddy,35,645934,Freelancer,Nagpur,2022-05-12
C0042,Ritu Mishra,47,839527,Salaried,Delhi,2023-02-15
C0043,Meena Sharma,42,1485518,Freelancer,Delhi,2021-04-18
C0044,Manish Khanna,34,1868777,Salaried,Pune,2023-07-20
C0045,Yash Kulkarni,57,771811,Freelancer,Chennai,2019-07-26
C0046,Neha Patil,34,842361,Business,Indore,2023-07-22
C0047,Neha Kapoor,39,1833611,Freelancer,Hyderabad,2023-08-17
C0048,Ritu Jain,49,611902,Business,Mumbai,2021-10-09
C0049,Amit Pandey,36,1050790,Salaried,Nagpur,2022-03-24
C0050,Shweta Mishra,57,1839208,Business,Hyderabad,2023-10-21
C0051,Sanjay Kulkarni,43,1545701,Salaried,Chennai,2019-11-01
C0052,Komal Mishra,33,1776936,Salaried,Bangalore,2022-06-15
C0053,Meena Mehta,59,1610197,Salaried,Pune,2023-05-09
C0054,Kavita Saxena,24,598525,Business,Bangalore,2023-06-04
C0055,Ritu Gupta,35,1493834,Salaried,Nagpur,2019-05-15
C0056,Yash Khanna,28,1537018,Freelancer,Hyderabad,2023-09-20
C0057,Manish Reddy,60,1769670,Salaried,Pune,2022-04-14
C0058,Rohit Sharma,40,1103830,Salaried,Chennai,2018-08-01
C0059,Kavita Deshmukh,35,1965633,Salaried,Hyderabad,2018-10-12
C0060,Amit Deshmukh,56,1952064,Freelancer,Delhi,2018-11-11
C0061,Rohit Khanna,30,1638979,Salaried,Delhi,2022-08-24
C0062,Rahul Agarwal,58,1062139,Freelancer,Indore,2019-09-15
C0063,Suresh Pandey,38,391816,Freelancer,Nagpur,2020-07-11
C0064,Tanya Deshmukh,57,980405,Business,Hyderabad,2017-09-01
C0065,Amit Joshi,57,381052,Freelancer,Mumbai,2017-07-20
C0066,Sneha Reddy,24,1946607,Freelancer,Bangalore,2022-01-19
C0067,Priya Deshmukh,26,1573322,Salaried,Bangalore,2017-09-24
C0068,Sanjay Mehta,57,657158,Salaried,Delhi,2018-06-12
C0069,Kavita Kapoor,26,1257097,Business,Nagpur,2021-12-29
C0070,Sneha Bansal,30,441177,Freelancer,Chennai,2018-05-06
C0071,Anita Mishra,40,1051595,Business,Hyderabad,2017-06-25
C0072,Ritu Patil,51,1192150,Business,Indore,2021-12-11
C0073,Neha Reddy,41,744056,Salaried,Hyderabad,2017-03-28
C0074,Nilesh Kapoor,59,1015296,Business,Delhi,2023-04-25
C0075,Meena Iyer,31,1505006,Salaried,Nagpur,2020-04-04
C0076,Anita Verma,58,681037,Business,Bangalore,2017-01-16
C0077,Meena Joshi,37,1312710,Business,Hyderabad,2018-08-31
C0078,Shweta Pandey,45,800033,Freelancer,Delhi,2017-01-29
C0079,Vikas Gupta,41,1566901,Freelancer,Delhi,2021-01-26
C0080,Neha Mishra,41,742967,Salaried,Delhi,2018-12-18
C0081,Vikas Joshi,40,1066383,Salaried,Pune,2021-07-29
C0082,Vikas Reddy,30,1974570,Freelancer,Delhi,2023-08-16
C0083,Manish Sharma,41,465701,Business,Chennai,2017-10-25
C0084,Vikas Pandey,26,1497490,Freelancer,Delhi,2023-02-04
C0085,Shweta Verma,47,826968,Salaried,Hyderabad,2019-04-21
C0086,Neha Joshi,36,376838,Salaried,Chennai,2022-12-04
C0087,Sanjay Bansal,43,1015004,Salaried,Chennai,2021-10-01
C0088,Nikita Bansal,25,1087350,Salaried,Bangalore,2018-01-28
C0089,Meena Jain,26,1269859,Business,Delhi,2021-11-29
C0090,Aarti Kapoor,22,337615,Salaried,Mumbai,2017-07-22
C0091,Sneha Chopra,42,1541317,Business,Mumbai,2022-09-03
C0092,Nikita Malhotra,25,710118,Freelancer,Nagpur,2021-09-07
C0093,Deepak Iyer,51,1118338,Freelancer,Nagpur,2022-10-27
C0094,Deepak Chopra,40,1379565,Business,Nagpur,2021-02-19
C0095,Shweta Agarwal,29,422702,Business,Chennai,2018-05-02
C0096,Rohit Kulkarni,44,1205799,Salaried,Mumbai,2019-01-21
C0097,Kiran Sharma,30,1189402,Business,Bangalore,2019-04-08
C0098,Manish Pandey,57,727833,Salaried,Delhi,2020-09-22
C0099,Komal Kapoor,46,1407321,Freelancer,Hyderabad,2019-01-10
C0100,Pooja Reddy,51,1497825,Salaried,Delhi,2018-02-21
C0101,Komal Mehta,22,412695,Freelancer,Pune,2022-05-19
C0102,Sneha Sharma,37,713684,Business,Delhi,2022-05-18
C0103,Isha Khanna,59,1342126,Freelancer,Chennai,2019-01-10
C0104,Rahul Reddy,49,1387532,Business,Chennai,2017-04-18
C0105,Yash Malhotra,43,1040617,Freelancer,Pune,2017-08-30
C0106,Arjun Jain,29,462270,Freelancer,Chennai,2020-11-03
C0107,Neha Kulkarni,45,521005,Business,Pune,2017-04-28
C0108,Neha Deshmukh,26,1515671,Freelancer,Hyderabad,2020-05-10
C0109,Akash Patil,29,1202544,Salaried,Nagpur,2023-10-20
C0110,Harsh Chopra,52,1078510,Salaried,Pune,2020-08-23
C0111,Suresh Iyer,58,1668049,Freelancer,Mumbai,2020-09-29
C0112,Yash Mishra,44,1018275,Freelancer,Bangalore,2018-11-10
C0113,Nikita Mishra,34,595581,Business,Mumbai,2020-11-21
C0114,Kavita Joshi,43,1592946,Freelancer,Pune,2022-08-13
C0115,Pooja Bansal,31,1709762,Business,Mumbai,2017-10-18
C0116,Shweta Khanna,33,607113,Business,Delhi,2018-02-19
C0117,Nikita Iyer,31,715648,Business,Indore,2020-12-26
C0118,Tanya Mehta,48,1414107,Freelancer,Delhi,2020-03-17
C0119,Pooja Agarwal,23,483315,Salaried,Chennai,2019-05-26
C0120,Sneha Joshi,25,835544,Salaried,Bangalore,2017-03-17
C0121,Rahul Saxena,28,1193566,Business,Indore,2023-04-30
C0122,Arjun Mishra,24,1870165,Salaried,Bangalore,2020-02-07
C0123,Sanjay Deshmukh,24,1621356,Freelancer,Indore,2021-08-19
C0124,Yash Agarwal,28,1274899,Freelancer,Chennai,2021-08-08
